,zip_code,median_income
17401,45238,97622
17402,45703,97623
17412,43417,76649
17432,44587,63857
17450,44342,5301
17498,43932,95501
17529,45385,28020
17531,44044,28072
17542,45646,44035
17562,45822,17034
17652,43571,49862
17675,45500,59522
17690,44167,59074
17696,43333,59351
17709,44451,13674
17714,44655,13751
17788,43510,15461
17799,43125,67352
17813,43125,67510
17817,43068,67548
17922,43534,50579
17934,44120,42765
17943,44219,42265
17948,44500,42374
17972,44574,42217
17976,43611,30452
17992,43961,56474
18030,44911,59868
18037,43241,59725
18042,44286,59464
18049,45987,77048
18063,43393,77482
18066,44929,77506
18070,44632,77533
18090,45763,77087
18091,44248,77092
18095,45000,77470
18101,43341,77547
18120,44159,45764
18156,43333,83549
18159,44105,83805
18217,44766,69331
18219,43563,69026
18221,44519,69044
18239,44583,69220
18262,43036,47382
18318,44666,43701
18325,43080,43764
18329,44712,43915
18337,43988,65280
18343,45300,65360
18346,43723,65656
18356,45400,65535
18362,43618,65611
18365,43785,65230
18377,45625,65772
18378,44906,38258
18379,44417,38260
18383,43516,38339
18391,44266,55753
18399,43125,55931
18407,45577,69346
18410,44070,69343
18430,43700,2905
18442,45628,2744
18448,45039,56387
18455,45417,56287
18494,44167,43837
18501,44412,43749
18502,44789,43912
18511,44125,38037
18514,44338,38052
18557,45064,33592
18562,45242,29009
18566,43377,29102
18575,43998,29210
18582,44444,29436
18625,44615,33880
18626,44281,33881
18652,43594,41772
18683,44583,45352
18702,45673,45684
18715,44865,45223
18745,43546,24380
18767,43390,41071
18797,43963,73141
18799,45625,73434
18807,43000,82512
18810,44167,82649
18837,45656,29374
18850,43932,44710
18869,44876,34748
18885,44703,34788
18893,43750,37391
18905,44384,76106
18929,44375,76710
18977,44625,5732
19010,44828,75090
19012,43736,75110
19013,43471,75140
19066,44661,28636
19093,45903,40337
19112,44898,26155
19139,44873,46227
19192,43906,59016
19208,43242,59872
19244,45286,45678
19246,44707,22844
19303,43750,67631
19314,43681,73021
19321,45938,73662
19323,45000,73734
19337,44728,83873
19347,45818,83647
19374,43053,40387
19377,43750,40460
19379,46000,40806
19442,43333,57340
19444,44615,57337
19472,45000,57531
19482,45221,26722
19486,45203,26034
19491,43253,26201
19494,44063,26292
19499,43615,26419
19523,45022,26836
19526,44554,26537
19605,43487,96057
19611,44449,96713
19637,44438,96769
19661,44500,84512
19695,43889,93206
19709,45486,28713
19712,45698,28783
19718,43029,28578
19727,45682,28054
19746,44267,28006
19789,43365,7939
19817,44688,58282
19880,44219,38341
19888,43839,38485
19892,43421,38575
19893,44231,38625
19910,45498,38967
19946,44525,2723
19959,43088,47865
19983,43789,47369
20011,45750,29824
20066,43546,14897
20068,45912,14904
20086,43317,14210
20159,44167,56680
20177,45775,41250
20187,43098,52659
20233,45640,95365
20243,45417,95462
20269,44991,74128
20272,44097,74363
20283,44500,41839
20286,45015,41014
20293,43235,41622
20325,43295,26436
20341,45625,29003
20343,45156,29051
20368,43149,29544
20380,43023,29801
20433,44448,29620
20436,45685,29678
20437,43268,29706
20466,45499,46808
20486,43309,46938
20512,43816,75232
20562,44328,32696
20577,44648,32960
20591,45769,18218
20599,44776,18848
20663,43438,87745
20685,45938,49736
20689,45571,49656
20695,44375,49027
20709,44385,49252
20737,43531,45772
20770,43188,16214
20772,44038,16260
20775,45270,16353
20776,45717,16407
20784,45395,16650
20791,43125,30535
20801,45095,30344
20848,44794,83330
20866,44219,83321
20874,44686,41701
20892,43125,81429
20923,44803,70357
20932,43570,70084
20950,45729,70431
20979,44833,78391
20996,43691,31063
21008,43361,31503
21080,45625,56237
21097,44375,56654
21098,45714,56657
21122,45809,56369
21131,44167,96033
21132,43750,96034
21153,43438,47336
21156,45504,47373
21160,43663,47404
21163,45048,47465
21173,45417,47916
21177,46000,47137
21182,43942,47145
21197,43152,45766
21216,45625,84776
21267,45625,17884
21285,44500,17850
21290,45198,17901
21345,45694,58260
21348,45568,58324
21366,45679,1609
21377,43815,79848
21402,45321,79044
21411,43438,79250
21412,43785,79106
21459,44678,14615
21462,45423,14411
21467,43750,14441
21475,43989,43213
21554,45969,1603
21596,44880,28152
21600,43293,38201
21601,44283,38225
21604,44318,38457
21608,45625,75236
21610,44732,52549
21617,45250,52581
21621,45108,52632
21692,45294,74403
21716,45855,63381
21719,44327,21622
21759,44583,74446
21768,44331,74728
21771,44375,74831
21784,45716,74104
21786,44826,74129
21787,44966,74136
21800,43165,74962
21818,44063,97901
21829,45750,97856
21831,45959,97301
21833,44375,97429
21841,43087,54858
21846,43542,54102
21891,43912,75224
21910,43750,75493
21933,44955,71653
21935,44435,71665
21950,44313,71759
21955,45156,62825
21978,43333,49961
22004,45109,98564
22128,43581,66103
22149,45040,66783
22158,45000,66087
22276,44000,16054
22285,45963,16701
22286,44079,16740
22317,44127,72016
22334,44736,31031
22335,44219,31002
22349,44510,31622
22351,43958,31642
22353,43015,31722
22354,45446,31083
22364,43355,31716
22410,43481,62471
22411,45556,62477
22421,43790,77456
22452,44286,93223
22474,43894,93662
22477,43651,93726
22506,43276,31650
22514,43977,31637
22522,44265,31830
22535,44832,72653
22553,44361,72923
22558,45682,72856
22561,43271,72959
22582,44688,5907
22607,45417,5832
22617,45750,25942
22621,45833,56447
22628,45500,56581
22635,44500,56027
22665,43750,50155
22667,45590,50027
22681,43695,30525
22706,43052,30458
22715,44750,30607
22745,43125,84516
22757,43050,67505
22761,45714,67523
22770,44531,83285
22783,43364,84102
22793,45931,15425
22886,44750,82222
22887,44028,82225
22954,44298,92391
22968,45405,28538
22980,44904,28692
22983,43490,28719
22997,43417,28612
22999,45448,28624
23003,44904,28659
23006,45587,28677
23012,43850,28033
23017,43125,58212
23087,44792,21626
23159,43278,21557
23166,45898,21874
23178,45147,21856
23187,44688,74027
23191,45067,74107
23262,43682,62801
23266,44412,62846
23293,43077,62842
23300,44167,62895
23311,44164,34436
23328,43863,34224
23334,43417,34428
23375,45093,76632
23414,45319,16866
23423,45299,16102
23454,43250,16374
23455,43289,16504
23478,44286,49459
23491,43712,49665
23501,45000,73092
23535,43106,37110
23627,43920,12172
23628,44569,12174
23636,45438,12441
23656,45882,3279
23689,43812,65265
23694,44583,65759
23740,44365,18081
23766,45781,64652
23778,43846,64784
23785,45422,64052
23805,44281,64481
23823,43553,42731
23831,43664,42164
23881,45250,68970
23983,45603,24270
23989,44509,93705
24009,44693,93257
24012,45257,93620
24021,43247,93534
24063,45713,72455
24075,45000,76666
24096,44321,76544
24128,45692,44833
24167,45000,50104
24170,45000,50128
24204,43968,78043
24236,44271,26412
24251,44410,60628
24259,44500,21634
24269,45838,11354
24276,44969,64134
24277,44867,64138
24280,43100,64661
24288,43964,64772
24293,43125,64859
24326,45087,21613
24374,45943,35121
24445,43715,35954
24461,44842,35045
24481,43750,35461
24485,43558,35540
24497,44004,71046
24531,45199,38351
24533,43281,38359
24577,45303,77995
24583,43509,77031
24614,43894,63841
24635,44561,63628
24637,44141,63537
24639,45592,79924
24646,45684,79079
24648,45701,79103
24652,44479,79560
24803,43561,78223
24842,43750,35441
24852,45297,35653
24883,45685,35552
24886,43041,35570
24980,43750,13319
25007,44501,25177
25035,44035,70438
25043,44753,70092
25061,45167,61376
25081,44510,27701
25087,45991,27305
25089,44710,27325
25090,44440,27344
25102,45625,27568
25103,43644,27573
25114,45011,27107
25116,44263,27979
25119,45686,27025
25140,45938,79533
25159,45536,4761
25184,45179,75705
25208,43640,75859
25217,43990,75101
25232,45000,65654
25238,45274,78572
25244,45660,78666
25258,44375,15962
25262,43764,15207
25283,45688,13613
25357,44899,51345
25397,44922,13833
25486,43933,25259
25489,43203,25287
25492,44911,25123
25509,43125,54103
25567,43750,99550
25601,44670,61833
25614,44647,61059
25638,43750,71410
25643,45469,71651
25644,43197,71655
25692,44821,68337
25717,45800,29709
25719,45303,62262
25726,45121,62414
25731,45734,62510
25737,45461,4010
25759,45625,13616
25780,44375,13750
25783,44375,13838
25836,44429,21213
25853,45625,21817
25879,45250,53007
25917,45946,11208
25939,43787,25845
25946,43125,25958
25966,45923,25102
25982,43103,71430
25986,43218,71603
25998,43170,71846
26016,45789,47449
26019,45250,47515
26045,45898,77901
26056,45219,77369
26062,45000,77442
26069,43991,77504
26122,43250,99621
26136,43906,75681
26146,45208,75943
26153,44250,31007
26158,43939,28736
26188,44792,28663
26225,45769,68420
26269,44095,4901
26273,43409,71275
26280,44799,71118
26286,43750,71341
26319,43692,33781
26370,45156,48878
26376,43498,48910
26427,45694,27356
26433,44085,27530
26495,44375,55602
26541,43935,40741
26620,45833,27020
26630,44301,27011
26632,45417,27014
26664,45233,27217
26669,45313,75946
26676,44474,75147
26791,45208,99008
26804,44896,56710
26821,43563,72938
26824,43036,72347
26829,43330,72401
26841,44192,33604
26874,44473,28694
26883,44736,28607
26922,44500,21153
26989,45555,10030
27007,45480,60115
27051,45806,61420
27066,44531,55711
27085,43872,2909
27131,43933,70577
27161,45435,66023
27191,44592,18202
27202,44191,18843
27230,43066,18640
27276,44272,72521
27304,43929,89314
27320,43160,89121
27328,45238,89048
27360,45938,72443
27364,45161,72471
27366,45972,72556
27376,44286,72658
27397,45417,99670
27398,43750,99678
27403,44875,99125
27442,44426,13501
27451,43527,13841
27453,43250,13863
27457,43571,65629
27460,43735,65613
27463,43738,65674
27480,45210,48015
27484,43725,48030
27493,43237,48915
27510,44980,49336
27629,43494,66442
27636,44369,66701
27637,44397,66743
27673,44295,18224
27708,45750,66843
27722,44750,99568
27782,45208,50586
27813,43125,72005
27819,43043,72081
27823,43595,72118
27832,43621,72341
27871,44393,89501
27880,44362,37354
27881,45143,37356
27886,45496,37381
27902,44766,37853
27903,43072,37888
27909,43359,37095
27915,44419,37079
27933,43533,99581
27969,43750,54485
28000,44069,23901
28003,43854,23876
28008,43396,23944
28137,43875,52580
28141,43802,52630
28161,43843,66039
28165,44412,66042
28166,43821,66044
28204,44427,63435
28206,44119,63956
28227,45250,52035
28242,45472,52554
28263,44583,43976
28280,43234,10550
28289,43574,75253
28303,45625,47964
28322,43333,47524
28333,45833,68952
28384,43868,42031
28397,44028,42123
28433,43306,68105
28440,45160,37321
28441,44743,37327
28455,43500,86333
28460,44020,86429
28476,44183,56672
28479,43750,56557
28487,43558,56446
28576,43627,99173
28586,45625,99565
28600,45714,99742
28632,43559,45661
28633,45885,45692
28636,44947,60970
28651,45793,60469
28677,45785,52240
28697,43676,73848
28728,44321,63967
28769,43563,63544
28800,43380,73115
28820,44750,57641
28826,43417,57732
28876,43816,72537
28882,43610,72104
28962,43733,68352
28975,45000,68667
28988,44583,68421
29029,44375,77420
29077,45042,78071
29097,43281,78569
29100,45881,78596
29145,44338,63655
29150,43169,63751
29153,45946,63801
29163,44213,63839
29205,45313,43101
29226,43750,66767
29240,45673,73537
29242,43750,73556
29243,43295,73639
29254,45107,73139
29270,44831,29550
29293,45893,68821
29298,45921,67487
29336,45364,72932
29343,43415,72143
29361,44013,68665
29401,44063,68950
29414,43508,72063
29440,44265,72944
29443,44750,72434
29453,43393,54138
29463,43177,54303
29478,43500,59055
29486,45781,59451
29495,43730,99166
29496,44821,99176
29545,44904,67029
29557,43393,67137
29566,43194,95947
29587,44230,75602
29590,45467,75644
29602,43971,58259
29625,43333,29555
29670,45089,98241
29689,44639,8310
29726,43847,87121
29733,43777,87557
29741,44123,87801
29756,44688,4923
29762,45536,4984
29777,45313,4221
29784,44167,4430
29785,43500,4442
29788,44922,4463
29807,45040,33130
29813,43125,68448
29841,45063,24363
29846,44728,24597
29850,44073,24976
29859,45776,24366
29889,43097,72315
29917,45000,48744
29920,43400,48801
29921,45240,48806
29949,45208,5825
29956,45484,5089
29977,44750,5447
29991,45294,54527
30007,43462,54805
30023,43350,76011
30080,45833,79520
30086,44375,79565
30088,43614,79603
30093,45469,79252
30094,43526,79322
30109,43610,32640
30124,45205,32809
30129,44056,32905
30149,44679,74301
30170,45500,71435
30200,43542,71326
30233,43930,8901
30279,45469,87728
30312,45000,58712
30339,45879,33167
30346,44297,33001
30380,44890,89109
30393,44432,24133
30409,43409,57356
30436,45910,57104
30449,45541,48703
30466,45164,54875
30557,44257,76164
30582,43948,76429
30583,45846,76501
30598,45114,79367
30607,43768,79201
30649,45898,37814
30670,43008,74352
30678,45385,74470
30679,44167,74552
30685,44728,74701
30704,44167,99555
30728,44531,71851
30730,44473,71854
30745,43211,28734
30748,43615,28753
30767,44410,28341
30789,44406,48610
30790,44118,48614
30793,45776,48624
30851,43438,58222
30852,44318,58223
30888,43769,89110
30895,44167,89833
30904,45833,89060
30937,43558,37357
30945,43628,57262
30959,45004,90029
31017,43333,77853
31083,44236,6607
31109,43197,6380
31131,43750,67553
31139,43750,67051
31146,44000,67511
31150,45781,67669
31158,44619,67860
31184,44195,37166
31196,43077,57748
31212,44167,57738
31264,44438,54896
31281,45250,35574
31298,45096,28748
31299,45351,28754
31310,44394,61606
31341,45741,13329
31346,46000,61338
31355,43485,35601
31356,45000,35610
31358,45677,35646
31366,44969,35769
31367,43661,35776
31393,44064,98433
31416,45257,46985
31420,44750,46991
31428,45625,56737
31432,44375,56569
31433,44881,56628
31450,45288,56144
31463,44984,65712
31464,44556,65717
31505,44892,65608
31546,43974,56136
31570,43125,56626
31581,43750,96107
31585,44550,96134
31595,46000,79501
31618,45625,47862
31629,45446,98586
31658,44144,12078
31663,45800,12122
31681,45714,12843
31691,45722,95427
31821,43917,35978
31860,44494,30258
31868,43194,13690
31882,44466,13905
31899,45000,99649
31922,43246,61074
31936,45836,61944
31948,45103,49858
31956,45819,49942
31957,45052,49946
31959,44643,49958
31960,45443,49646
31976,45714,56535
31998,43125,38050
32009,43688,72473
32034,45445,59873
32052,43750,59066
32142,45630,12701
32206,44530,15074
32219,45036,64468
32229,45625,64745
32242,44598,64402
32256,43750,64456
32257,43563,64471
32326,44196,77067
32360,43673,38544
32375,45000,58416
32379,44798,30559
32384,44938,30577
32408,44016,12910
32415,44722,12979
32418,43250,12194
32428,45179,54536
32429,45000,54554
32436,44250,99841
32441,45386,99775
32455,45439,23947
32456,43750,23958
32479,45427,75116
32505,43864,95415
32549,43568,7050
32566,44832,7055
32568,45222,7105
32569,44898,7111
32640,44605,50441
32653,43750,50559
32674,44392,30093
32684,43902,30624
32695,44892,30630
32697,43645,30643
32721,43281,64493
32737,43906,78332
32768,43750,51544
32876,45500,71940
32880,45357,71029
32881,45156,71032
32892,44783,54655
32913,44638,54495
32988,43779,20032
33003,45234,32431
33004,44643,32445
33033,44538,60612
33035,43642,60617
33038,45632,60626
33063,43125,26208
33074,43164,26104
33092,43698,26241
33116,45000,16627
